ageReported,householdReported,timePhase1,timePhase2,timePhase3,timePhase4,timeDem,timeRisk,languageEnglish,genderReported,gamble1,gamble2,incomeReported_10000,incomeReported_100000,incomeReported_15000,incomeReported_150000,incomeReported_25000,incomeReported_40000,incomeReported_60000,incomeReported_75000,maritalReported_divorced,maritalReported_engaged,maritalReported_married,maritalReported_separated,maritalReported_single,maritalReported_widow,pbdmBid,pbdmOffer,nCorrect,nInTime,timeExperiment,offerType,treated,ub,lb,prob_zero,prob_walls,budget_pbdm,tutorial_max_credits_1,tutorial_offer_1,tutorial_game_credits_1,tutorial_regret_1,tutorial_max_credits_2,tutorial_offer_2,tutorial_game_credits_2,tutorial_regret_2,tutorial_max_credits_3,tutorial_offer_3,tutorial_game_credits_3,tutorial_regret_3,tutorial_max_credits_4,tutorial_offer_4,tutorial_game_credits_4,tutorial_regret_4,tutorial_max_credits_5,tutorial_offer_5,tutorial_game_credits_5,tutorial_regret_5,tutorial_max_credits_6,tutorial_offer_6,tutorial_game_credits_6,tutorial_regret_6,pbdmRegret,prop
40.0,5.0,7.1420001983643,254.98299980164,22.107000112534,230.21900010109,281656.89358947554,281656.89358947554,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,183,9,20,3.0463,BDM,False,200.0,0.0,0.0,0.05,89,10,2,8,5,16,15,14,14,22,20,20,22,30,23,19,23,12,7,9,12,22,12,18,22,100,0.505
34.0,2.0,11.18799996376,251.49300003052,35.710000038147,359.34299993515,755324.6423228066,755324.6423228066,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,36,14,20,4.305016666666667,BDM,True,200.0,0.0,0.0,0.05,106,9,4,13,5,10,11,12,11,7,9,10,9,4,5,5,4,4,5,5,4,18,2,19,3,12,0.505
27.0,4.0,6.7769999504089,221.94499993324,31.818000078201,180.73900008202,64271.52920175477,64271.52920175477,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0,14,20,1.61045,PBDM,True,167.03225550733748,-53.04955844674886,0.1185,0.05,35,20,17,20,3,20,11,20,9,17,14,17,3,16,1,16,15,6,1,6,5,5,5,5,0,0,0.6439438132756161
43.0,2.0,6.7480001449585,340.64100003242,21.386999845505,370.75300002098,183489.18258362613,183489.18258362613,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160.0,88,19,20,4.287083333333333,BDM,True,200.0,0.0,0.0,0.05,72,3,2,5,3,10,16,19,16,6,7,9,6,11,12,14,11,9.0,3,9,7,8.0,5,8,6,160,0.805
20.0,2.0,4.6340000629425,156.34000015259,9.0909998416901,128.71300005913,56689.74719444547,56689.74719444547,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,161,15,20,1.46435,BDM,False,200.0,0.0,0.0,0.05,156,9,1,18,9,3,7,7,7,19,1,19,19,18,2,18,18,5.0,4,5,3,7.0,2,7,5,100,0.505
67.0,1.0,0.041000127792358,318.39099979401,48.244000196457,289.73099994659,204017.52616374323,204017.52616374323,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,121,12,20,2.9242333333333335,BDM,False,200.0,0.0,0.0,0.05,65,2,1,11,2,4,17,17,18,9,9,15,10,8,14,16,15,6.0,6,6,6,10.0,5,10,6,0,0.01
39.0,3.0,13.826999902725,336.27100014687,21.821999788284,214.22500014305,124767.74347719282,124767.74347719282,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,170,13,20,1.4794,BDM,False,200.0,0.0,0.0,0.05,94,1,13,14,5,10,13,20,14,7,11,20,7,0,6,10,7,10.0,3,17,4,14.0,20,20,7,5,0.025
38.0,1.0,4.8959999084473,216.20800018311,11.369999885559,244.76399993896,58126.94207865424,58126.94207865424,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,115.0,71,19,20,2.8695666666666666,PBDM,True,174.18741853104189,-59.715031844749475,0.1475,0.05,137,010,3,19,10,08,17,17,8,02,5,6,2,06,6,8,6,,3,16,9,,3,11,6,115,0.7044607384377218
45.0,2.0,8.0720000267029,340.32899999619,17.84500002861,193.21799993515,107728.83624853789,107728.83624853789,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,2,17,19,1.6418666666666666,BDM,True,200.0,0.0,0.0,0.05,94,6,5,10,6,5,16,20,5,5,8,9,5,4,5,6,4,11.0,1,13,7,15.0,2,19,10,10,0.055
31.0,2.0,9.0089998245239,301.4390001297,13.555999994278,234.91799998283,191544.08150497018,191544.08150497018,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,109,9,20,2.758166666666667,BDM,False,200.0,0.0,0.0,0.05,86,05,1,19,2,6,8,15,9,11,14,16,15,3,5,5,3,9.0,1,9,2,7.0,6,7,4,86,0.435
